target_room,point_type,point_id,x,y
401,공유기,401_공유기,,
401,문앞,401_문앞,,
401,벽,401_벽,,
402,공유기,402_공유기,,
402,문앞,402_문앞,,
402,벽,402_벽,,
402,복도,402_복도,,
403,공유기,403_공유기,,
403,문앞,403_문앞,,
403,벽,403_벽,,
403,복도,403_복도,,
404,공유기,404_공유기,,
404,문앞,404_문앞,,
404,벽,404_벽,,
404,복도,404_복도,,
405,공유기,405_공유기,,
405,문앞,405_문앞,,
405,벽,405_벽,,
405,복도,405_복도,,
406,공유기,406_공유기,,
406,문앞,406_문앞,,
406,벽,406_벽,,
406,복도,406_복도,,
407,공유기,407_공유기,,
407,문앞,407_문앞,,
407,벽,407_벽,,
407,복도,407_복도,,
408,공유기,408_공유기,,
408,문앞,408_문앞,,
408,벽,408_벽,,
408,복도,408_복도,,
409,공유기,409_공유기,,
409,문앞,409_문앞,,
409,벽,409_벽,,
410,공유기,410_공유기,,
410,문앞,410_문앞,,
410,벽,410_벽,,
410,복도,410_복도,,
411,공유기,411_공유기,,
411,문앞,411_문앞,,
411,벽,411_벽,,
411,복도,411_복도,,
412,공유기,412_공유기,,
412,문앞,412_문앞,,
412,벽,412_벽,,
413,공유기,413_공유기,,
413,문앞,413_문앞,,
413,벽,413_벽,,
413,복도,413_복도,,
414,공유기,414_공유기,,
414,문앞,414_문앞,,
414,벽,414_벽,,
414,복도,414_복도,,
415,공유기,415_공유기,,
415,문앞,415_문앞,,
415,벽,415_벽,,
415,복도,415_복도,,
