ssid,bssid,rssi,channel,time,band,observed_room,file_name,target_room,point_type,point_id
wi_dje_406,0A:29:D5:47:E7:B0,-83,52,오후 5:23:04,5GHz,406,인수_data/408_문앞.txt,408,문앞,408_문앞
wi_dje_406,0A:29:D5:47:E7:B0,-95,52,오후 5:23:07,5GHz,406,인수_data/408_문앞.txt,408,문앞,408_문앞
wi_dje_406,0A:29:D5:47:E7:B0,-91,52,오후 5:23:10,5GHz,406,인수_data/408_문앞.txt,408,문앞,408_문앞
wi_dje_406,0A:29:D5:47:E7:B0,-91,52,오후 5:23:13,5GHz,406,인수_data/408_문앞.txt,408,문앞,408_문앞
wi_dje_408,0A:29:D5:47:E8:20,-54,149,오후 5:23:04,5GHz,408,인수_data/408_문앞.txt,408,문앞,408_문앞
wi_dje_408,0A:29:D5:47:E8:20,-57,149,오후 5:23:07,5GHz,408,인수_data/408_문앞.txt,408,문앞,408_문앞
wi_dje_408,0A:29:D5:47:E8:20,-56,149,오후 5:23:10,5GHz,408,인수_data/408_문앞.txt,408,문앞,408_문앞
wi_dje_408,0A:29:D5:47:E8:20,-52,149,오후 5:23:13,5GHz,408,인수_data/408_문앞.txt,408,문앞,408_문앞
wi_dje_407,0A:29:D5:47:E8:00,-67,100,오후 5:23:04,5GHz,407,인수_data/408_문앞.txt,408,문앞,408_문앞
wi_dje_407,0A:29:D5:47:E8:00,-66,100,오후 5:23:07,5GHz,407,인수_data/408_문앞.txt,408,문앞,408_문앞
wi_dje_407,0A:29:D5:47:E8:00,-71,100,오후 5:23:10,5GHz,407,인수_data/408_문앞.txt,408,문앞,408_문앞
wi_dje_407,0A:29:D5:47:E8:00,-68,100,오후 5:23:13,5GHz,407,인수_data/408_문앞.txt,408,문앞,408_문앞
wi_dje_408,06:29:D5:47:E8:20,-52,1,오후 5:23:04,2.4GHz,408,인수_data/408_문앞.txt,408,문앞,408_문앞
wi_dje_408,06:29:D5:47:E8:20,-52,1,오후 5:23:07,2.4GHz,408,인수_data/408_문앞.txt,408,문앞,408_문앞
wi_dje_408,06:29:D5:47:E8:20,-52,1,오후 5:23:10,2.4GHz,408,인수_data/408_문앞.txt,408,문앞,408_문앞
wi_dje_408,06:29:D5:47:E8:20,-52,1,오후 5:23:13,2.4GHz,408,인수_data/408_문앞.txt,408,문앞,408_문앞
wi_dje_409,0A:29:D5:47:E8:10,-91,116,오후 5:23:04,5GHz,409,인수_data/408_문앞.txt,408,문앞,408_문앞
wi_dje_409,0A:29:D5:47:E8:10,-89,116,오후 5:23:07,5GHz,409,인수_data/408_문앞.txt,408,문앞,408_문앞
wi_dje_409,0A:29:D5:47:E8:10,-93,116,오후 5:23:10,5GHz,409,인수_data/408_문앞.txt,408,문앞,408_문앞
wi_dje_409,0A:29:D5:47:E8:10,-89,116,오후 5:23:13,5GHz,409,인수_data/408_문앞.txt,408,문앞,408_문앞
wi_dje_407,06:29:D5:47:E8:00,-62,11,오후 5:23:04,2.4GHz,407,인수_data/408_문앞.txt,408,문앞,408_문앞
wi_dje_407,06:29:D5:47:E8:00,-62,11,오후 5:23:07,2.4GHz,407,인수_data/408_문앞.txt,408,문앞,408_문앞
wi_dje_407,06:29:D5:47:E8:00,-46,11,오후 5:23:10,2.4GHz,407,인수_data/408_문앞.txt,408,문앞,408_문앞
wi_dje_407,06:29:D5:47:E8:00,-62,11,오후 5:23:13,2.4GHz,407,인수_data/408_문앞.txt,408,문앞,408_문앞
wi_dje_415,06:29:D5:2B:32:40,-55,1,오후 5:12:36,2.4GHz,415,인수_data/415_복도.txt,415,복도,415_복도
wi_dje_415,06:29:D5:2B:32:40,-55,1,오후 5:12:39,2.4GHz,415,인수_data/415_복도.txt,415,복도,415_복도
wi_dje_415,06:29:D5:2B:32:40,-55,1,오후 5:12:42,2.4GHz,415,인수_data/415_복도.txt,415,복도,415_복도
wi_dje_415,06:29:D5:2B:32:40,-53,1,오후 5:12:45,2.4GHz,415,인수_data/415_복도.txt,415,복도,415_복도
wi_dje_414,0A:29:D5:2B:5E:D0,-64,116,오후 5:12:36,5GHz,414,인수_data/415_복도.txt,415,복도,415_복도
wi_dje_414,0A:29:D5:2B:5E:D0,-64,116,오후 5:12:39,5GHz,414,인수_data/415_복도.txt,415,복도,415_복도
wi_dje_414,0A:29:D5:2B:5E:D0,-64,116,오후 5:12:42,5GHz,414,인수_data/415_복도.txt,415,복도,415_복도
wi_dje_414,0A:29:D5:2B:5E:D0,-63,116,오후 5:12:45,5GHz,414,인수_data/415_복도.txt,415,복도,415_복도
wi_dje_414,06:29:D5:2B:5E:D0,-65,1,오후 5:12:36,2.4GHz,414,인수_data/415_복도.txt,415,복도,415_복도
wi_dje_414,06:29:D5:2B:5E:D0,-65,1,오후 5:12:39,2.4GHz,414,인수_data/415_복도.txt,415,복도,415_복도
wi_dje_414,06:29:D5:2B:5E:D0,-65,1,오후 5:12:42,2.4GHz,414,인수_data/415_복도.txt,415,복도,415_복도
wi_dje_414,06:29:D5:2B:5E:D0,-61,1,오후 5:12:45,2.4GHz,414,인수_data/415_복도.txt,415,복도,415_복도
wi_dje_413,0A:29:D5:2B:5E:E0,-83,100,오후 5:12:36,5GHz,413,인수_data/415_복도.txt,415,복도,415_복도
wi_dje_413,0A:29:D5:2B:5E:E0,-83,100,오후 5:12:39,5GHz,413,인수_data/415_복도.txt,415,복도,415_복도
wi_dje_413,0A:29:D5:2B:5E:E0,-85,100,오후 5:12:42,5GHz,413,인수_data/415_복도.txt,415,복도,415_복도
wi_dje_413,0A:29:D5:2B:5E:E0,-85,100,오후 5:12:45,5GHz,413,인수_data/415_복도.txt,415,복도,415_복도
wi_dje_412,0A:29:D5:2B:5E:F0,-89,149,오후 5:12:36,5GHz,412,인수_data/415_복도.txt,415,복도,415_복도
wi_dje_412,0A:29:D5:2B:5E:F0,-89,149,오후 5:12:39,5GHz,412,인수_data/415_복도.txt,415,복도,415_복도
wi_dje_412,0A:29:D5:2B:5E:F0,-89,149,오후 5:12:42,5GHz,412,인수_data/415_복도.txt,415,복도,415_복도
wi_dje_412,0A:29:D5:2B:5E:F0,-91,149,오후 5:12:45,5GHz,412,인수_data/415_복도.txt,415,복도,415_복도
wi_dje_415,0A:29:D5:2B:32:40,-59,149,오후 5:12:36,5GHz,415,인수_data/415_복도.txt,415,복도,415_복도
wi_dje_415,0A:29:D5:2B:32:40,-60,149,오후 5:12:39,5GHz,415,인수_data/415_복도.txt,415,복도,415_복도
wi_dje_415,0A:29:D5:2B:32:40,-61,149,오후 5:12:42,5GHz,415,인수_data/415_복도.txt,415,복도,415_복도
wi_dje_415,0A:29:D5:2B:32:40,-63,149,오후 5:12:45,5GHz,415,인수_data/415_복도.txt,415,복도,415_복도
wi_dje_415,0A:29:D5:2B:32:40,-82,149,오후 5:17:14,5GHz,415,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_415,0A:29:D5:2B:32:40,-85,149,오후 5:17:16,5GHz,415,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_415,0A:29:D5:2B:32:40,-82,149,오후 5:17:19,5GHz,415,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_415,0A:29:D5:2B:32:40,-83,149,오후 5:17:22,5GHz,415,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_415,0A:29:D5:2B:32:40,-84,149,오후 5:17:24,5GHz,415,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_410,0A:29:D5:47:E8:30,-91,52,오후 5:17:14,5GHz,410,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_410,0A:29:D5:47:E8:30,-91,52,오후 5:17:16,5GHz,410,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_410,0A:29:D5:47:E8:30,-91,52,오후 5:17:19,5GHz,410,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_410,0A:29:D5:47:E8:30,-91,52,오후 5:17:22,5GHz,410,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_410,0A:29:D5:47:E8:30,-91,52,오후 5:17:24,5GHz,410,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_414,0A:29:D5:2B:5E:D0,-57,116,오후 5:17:14,5GHz,414,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_414,0A:29:D5:2B:5E:D0,-59,116,오후 5:17:16,5GHz,414,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_414,0A:29:D5:2B:5E:D0,-57,116,오후 5:17:19,5GHz,414,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_414,0A:29:D5:2B:5E:D0,-55,116,오후 5:17:22,5GHz,414,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_414,0A:29:D5:2B:5E:D0,-58,116,오후 5:17:24,5GHz,414,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_413,0A:29:D5:2B:5E:E0,-76,100,오후 5:17:14,5GHz,413,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_413,0A:29:D5:2B:5E:E0,-71,100,오후 5:17:16,5GHz,413,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_413,0A:29:D5:2B:5E:E0,-71,100,오후 5:17:19,5GHz,413,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_413,0A:29:D5:2B:5E:E0,-70,100,오후 5:17:22,5GHz,413,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_413,0A:29:D5:2B:5E:E0,-71,100,오후 5:17:24,5GHz,413,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_413,06:29:D5:2B:5E:E0,-65,1,오후 5:17:14,2.4GHz,413,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_413,06:29:D5:2B:5E:E0,-65,1,오후 5:17:16,2.4GHz,413,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_413,06:29:D5:2B:5E:E0,-65,1,오후 5:17:19,2.4GHz,413,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_413,06:29:D5:2B:5E:E0,-65,1,오후 5:17:22,2.4GHz,413,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_413,06:29:D5:2B:5E:E0,-65,1,오후 5:17:24,2.4GHz,413,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_412,0A:29:D5:2B:5E:F0,-80,149,오후 5:17:14,5GHz,412,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_412,0A:29:D5:2B:5E:F0,-80,149,오후 5:17:16,5GHz,412,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_412,0A:29:D5:2B:5E:F0,-80,149,오후 5:17:19,5GHz,412,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_412,0A:29:D5:2B:5E:F0,-80,149,오후 5:17:22,5GHz,412,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_412,0A:29:D5:2B:5E:F0,-80,149,오후 5:17:24,5GHz,412,인수_data/414_문앞.txt,414,문앞,414_문앞
wi_dje_408,0A:29:D5:47:E8:20,-43,149,오후 5:24:18,5GHz,408,인수_data/408_벽.txt,408,벽,408_벽
wi_dje_408,0A:29:D5:47:E8:20,-45,149,오후 5:24:21,5GHz,408,인수_data/408_벽.txt,408,벽,408_벽
wi_dje_408,0A:29:D5:47:E8:20,-42,149,오후 5:24:24,5GHz,408,인수_data/408_벽.txt,408,벽,408_벽
wi_dje_408,0A:29:D5:47:E8:20,-45,149,오후 5:24:27,5GHz,408,인수_data/408_벽.txt,408,벽,408_벽
wi_dje_407,0A:29:D5:47:E8:00,-73,100,오후 5:24:18,5GHz,407,인수_data/408_벽.txt,408,벽,408_벽
wi_dje_407,0A:29:D5:47:E8:00,-74,100,오후 5:24:21,5GHz,407,인수_data/408_벽.txt,408,벽,408_벽
wi_dje_407,0A:29:D5:47:E8:00,-72,100,오후 5:24:24,5GHz,407,인수_data/408_벽.txt,408,벽,408_벽
wi_dje_407,0A:29:D5:47:E8:00,-70,100,오후 5:24:27,5GHz,407,인수_data/408_벽.txt,408,벽,408_벽
wi_dje_408,06:29:D5:47:E8:20,-44,1,오후 5:24:18,2.4GHz,408,인수_data/408_벽.txt,408,벽,408_벽
wi_dje_408,06:29:D5:47:E8:20,-44,1,오후 5:24:21,2.4GHz,408,인수_data/408_벽.txt,408,벽,408_벽
wi_dje_408,06:29:D5:47:E8:20,-43,1,오후 5:24:24,2.4GHz,408,인수_data/408_벽.txt,408,벽,408_벽
wi_dje_408,06:29:D5:47:E8:20,-46,1,오후 5:24:27,2.4GHz,408,인수_data/408_벽.txt,408,벽,408_벽
wi_dje_409,0A:29:D5:47:E8:10,-94,116,오후 5:24:18,5GHz,409,인수_data/408_벽.txt,408,벽,408_벽
wi_dje_409,0A:29:D5:47:E8:10,-91,116,오후 5:24:21,5GHz,409,인수_data/408_벽.txt,408,벽,408_벽
wi_dje_409,0A:29:D5:47:E8:10,-91,116,오후 5:24:24,5GHz,409,인수_data/408_벽.txt,408,벽,408_벽
wi_dje_409,0A:29:D5:47:E8:10,-88,116,오후 5:24:27,5GHz,409,인수_data/408_벽.txt,408,벽,408_벽
wi_dje_407,06:29:D5:47:E8:00,-58,11,오후 5:24:18,2.4GHz,407,인수_data/408_벽.txt,408,벽,408_벽
wi_dje_406,0A:29:D5:47:E7:B0,-94,52,오후 5:24:24,5GHz,406,인수_data/408_벽.txt,408,벽,408_벽
wi_dje_406,0A:29:D5:47:E7:B0,-93,52,오후 5:24:27,5GHz,406,인수_data/408_벽.txt,408,벽,408_벽
wi_dje_410,0A:29:D5:47:E8:30,-35,52,오후 5:30:23,5GHz,410,인수_data/410_공유기.txt,410,공유기,410_공유기
wi_dje_410,0A:29:D5:47:E8:30,-35,52,오후 5:30:26,5GHz,410,인수_data/410_공유기.txt,410,공유기,410_공유기
wi_dje_410,0A:29:D5:47:E8:30,-33,52,오후 5:30:28,5GHz,410,인수_data/410_공유기.txt,410,공유기,410_공유기
wi_dje_410,0A:29:D5:47:E8:30,-34,52,오후 5:30:31,5GHz,410,인수_data/410_공유기.txt,410,공유기,410_공유기
wi_dje_410,0A:29:D5:47:E8:30,-35,52,오후 5:30:34,5GHz,410,인수_data/410_공유기.txt,410,공유기,410_공유기
wi_dje_411,0A:29:D5:2B:5F:10,-75,36,오후 5:30:23,5GHz,411,인수_data/410_공유기.txt,410,공유기,410_공유기
