target_room,point_type,point_id,self_observed_room_2.4GHz,self_ssid_2.4GHz,self_bssid_2.4GHz,self_channel_2.4GHz,self_rssi_mean_2.4GHz,self_rssi_median_2.4GHz,self_n_samples_2.4GHz,strongest_observed_room_2.4GHz,strongest_ssid_2.4GHz,strongest_bssid_2.4GHz,strongest_channel_2.4GHz,strongest_rssi_mean_2.4GHz,strongest_rssi_median_2.4GHz,strongest_n_samples_2.4GHz,rssi_gap_strongest_minus_self_2.4GHz,ap_count_ge_-70_2.4GHz,ap_count_ge_-75_2.4GHz,ap_count_ge_-80_2.4GHz,self_observed_room_5GHz,self_ssid_5GHz,self_bssid_5GHz,self_channel_5GHz,self_rssi_mean_5GHz,self_rssi_median_5GHz,self_n_samples_5GHz,strongest_observed_room_5GHz,strongest_ssid_5GHz,strongest_bssid_5GHz,strongest_channel_5GHz,strongest_rssi_mean_5GHz,strongest_rssi_median_5GHz,strongest_n_samples_5GHz,rssi_gap_strongest_minus_self_5GHz,ap_count_ge_-70_5GHz,ap_count_ge_-75_5GHz,ap_count_ge_-80_5GHz,quality_score_5GHz
401,공유기,401_공유기,401.0,wi_dje_401,06:29:D5:47:E3:30,1.0,-25.0,-25.0,4.0,401.0,wi_dje_401,06:29:D5:47:E3:30,1.0,-25.0,-25.0,4.0,0.0,2,2,2,401.0,wi_dje_401,0A:29:D5:47:E3:30,149.0,-33.25,-32.5,4.0,401,wi_dje_401,0A:29:D5:47:E3:30,149,-33.25,-32.5,4,0.0,1,2,2,67.24192795758765
401,문앞,401_문앞,401.0,wi_dje_401,06:29:D5:47:E3:30,1.0,-51.75,-52.0,4.0,401.0,wi_dje_401,06:29:D5:47:E3:30,1.0,-51.75,-52.0,4.0,0.0,2,2,2,401.0,wi_dje_401,0A:29:D5:47:E3:30,149.0,-56.75,-56.0,4.0,401,wi_dje_401,0A:29:D5:47:E3:30,149,-56.75,-56.0,4,0.0,2,2,2,29.196359237722554
401,벽,401_벽,401.0,wi_dje_401,06:29:D5:47:E3:30,1.0,-36.75,-36.5,4.0,401.0,wi_dje_401,06:29:D5:47:E3:30,1.0,-36.75,-36.5,4.0,0.0,2,2,2,401.0,wi_dje_401,0A:29:D5:47:E3:30,149.0,-45.75,-46.5,4.0,401,wi_dje_401,0A:29:D5:47:E3:30,149,-45.75,-46.5,4,0.0,1,1,2,68.34932474581436
402,공유기,402_공유기,402.0,wi_dje_402,06:29:D5:47:E3:20,1.0,-22.6,-23.0,5.0,402.0,wi_dje_402,06:29:D5:47:E3:20,1.0,-22.6,-23.0,5.0,0.0,2,2,2,402.0,wi_dje_402,0A:29:D5:47:E3:20,52.0,-26.2,-26.0,5.0,402,wi_dje_402,0A:29:D5:47:E3:20,52,-26.2,-26.0,5,0.0,1,1,1,100.0
402,문앞,402_문앞,402.0,wi_dje_402,06:29:D5:47:E3:20,1.0,-48.0,-45.0,5.0,402.0,wi_dje_402,06:29:D5:47:E3:20,1.0,-48.0,-45.0,5.0,0.0,2,2,3,402.0,wi_dje_402,0A:29:D5:47:E3:20,52.0,-47.0,-47.0,5.0,402,wi_dje_402,0A:29:D5:47:E3:20,52,-47.0,-47.0,5,0.0,1,1,2,66.32562428199175
402,벽,402_벽,402.0,wi_dje_402,06:29:D5:47:E3:20,1.0,-45.25,-45.0,4.0,402.0,wi_dje_402,06:29:D5:47:E3:20,1.0,-45.25,-45.0,4.0,0.0,2,2,2,402.0,wi_dje_402,0A:29:D5:47:E3:20,52.0,-47.0,-47.0,4.0,402,wi_dje_402,0A:29:D5:47:E3:20,52,-47.0,-47.0,4,0.0,1,1,2,66.32562428199175
402,복도,402_복도,402.0,wi_dje_402,06:29:D5:47:E3:20,1.0,-49.2,-49.0,5.0,402.0,wi_dje_402,06:29:D5:47:E3:20,1.0,-49.2,-49.0,5.0,0.0,1,3,3,402.0,wi_dje_402,0A:29:D5:47:E3:20,52.0,-57.0,-57.0,5.0,402,wi_dje_402,0A:29:D5:47:E3:20,52,-57.0,-57.0,5,0.0,1,1,2,50.13602057141085
403,공유기,403_공유기,403.0,wi_dje_403,06:29:D5:47:E3:10,1.0,-22.2,-23.0,5.0,403.0,wi_dje_403,06:29:D5:47:E3:10,1.0,-22.2,-23.0,5.0,0.0,1,1,1,403.0,wi_dje_403,0A:29:D5:47:E3:10,116.0,-31.0,-31.0,5.0,403,wi_dje_403,0A:29:D5:47:E3:10,116,-31.0,-31.0,5,0.0,1,2,2,70.88458879246835
403,문앞,403_문앞,403.0,wi_dje_403,06:29:D5:47:E3:10,1.0,-45.0,-45.0,1.0,403.0,wi_dje_403,06:29:D5:47:E3:10,1.0,-45.0,-45.0,1.0,0.0,1,1,1,403.0,wi_dje_403,0A:29:D5:47:E3:10,116.0,-47.4,-47.0,5.0,403,wi_dje_403,0A:29:D5:47:E3:10,116,-47.4,-47.0,5,0.0,1,1,2,65.67804013356852
403,벽,403_벽,403.0,wi_dje_403,06:29:D5:47:E3:10,1.0,-39.0,-38.0,5.0,403.0,wi_dje_403,06:29:D5:47:E3:10,1.0,-39.0,-38.0,5.0,0.0,1,1,1,403.0,wi_dje_403,0A:29:D5:47:E3:10,116.0,-44.4,-45.0,5.0,403,wi_dje_403,0A:29:D5:47:E3:10,116,-44.4,-45.0,5,0.0,1,2,2,49.19051982028996
